X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,area,area_bin
9,9,jul,tue,0.7240610203864914,0.5804892621407038,0.7459122758278975,0.38850644116885164,0.7509663854799091,0.5485817568800804,0.48463786663613717,0.03202964953974273,Muy Baja
1,4,sep,tue,0.8659317271503806,0.8099304269155887,0.9453336329103998,0.5786792874099831,0.8259774961688076,0.4944020422549733,0.41223993142438764,0.03929358562000386,Muy Baja
2,5,sep,mon,0.863279854107688,0.8044488035894273,0.94310721442099,0.5786792874099831,0.8296756438284096,0.5084509270608146,0.34565181129628453,0.0432863764707831,Muy Baja
1,2,aug,wed,0.9823759902297073,0.7492983923553205,0.8699513586420189,0.8012819986835531,0.8546923285957702,0.3846282782151915,0.6823183316781324,0.050955958281246765,Muy Baja
8,6,aug,fri,0.8419604000679044,0.7674986009484608,0.8779104126288826,0.7816705206276564,0.816587661920654,0.6540372009973341,0.9754299984024971,0.05645267544805734,Muy Baja
1,2,jul,sat,0.8392823141068586,0.59441255242073,0.731817114061927,0.6534301165181104,0.7186981505869892,0.6749793584184931,0.7578917427206724,0.06517395744678015,Muy Baja
2,5,aug,wed,0.9823759902297073,0.7492983923553205,0.8699513586420189,0.8012819986835531,0.863278900969138,0.4017035119069132,0.7578917427206724,0.0701651240886932,Muy Baja
6,5,aug,thu,0.9747836736991236,0.8138707785214685,0.9001650086085098,0.7160782903397256,0.9204230003593163,0.20137673369718678,0.6347899896343456,0.08042273104350643,Muy Baja
5,4,mar,mon,0.8419604000679044,0.5353066749447248,0.42383427331309087,0.537805256110111,0.6282017630861287,0.5221528901238353,0.7578917427206724,0.08418214991835835,Muy Baja
8,3,sep,tue,0.6844114147097287,0.6774869840016227,0.937697153278908,0.32870453461195365,0.8700244229537664,0.3300037528972748,0.5932100698613199,0.08492245582427625,Muy Baja
2,2,aug,tue,0.9646236714066081,0.7681464231959729,0.928232620938924,0.8932751949251356,0.7374383971345253,0.5613386706492736,0.8501069937413349,0.0928252842429117,Muy Baja
8,6,sep,thu,0.9364633928145185,0.7001242518370261,0.9426301787558904,0.9122030701821615,0.8615755203493969,0.26940892278214235,0.6823183316781324,0.09627961263169786,Muy Baja
6,5,jun,fri,0.905367578978888,0.6163438736925142,0.8273386697263272,0.583498535570208,0.8529538266276033,0.5084509270608146,0.7578917427206724,0.10098121595616974,Muy Baja
9,9,jul,sun,0.8419604000679044,0.6617678817631709,0.7773734845540428,0.5882586503581702,0.8799445542905278,0.34881576831845407,0.41223993142438764,0.11180120344218634,Muy Baja
3,4,jul,sat,0.8419604000679044,0.5939614533752056,0.821942217520717,0.537805256110111,0.8766637118195624,0.5613386706492736,0.34565181129628453,0.1160315940604918,Muy Baja
5,4,sep,fri,0.9518638462541666,0.7119116669249654,0.9452245955374416,0.8688121386545782,0.79516297166708,0.6096213976880227,0.7173271001643842,0.1178074382918459,Muy Baja
1,5,sep,sat,0.9287265369664155,0.8370286141969054,0.955587516832819,0.6286592899117149,0.9518779056702855,0.3105315335795764,0.48463786663613717,0.1178074382918459,Muy Baja
7,4,aug,sun,0.9646236714066081,0.7681464231959729,0.928232620938924,0.8932751949251356,0.7138799709454011,0.6096213976880227,0.24755825856503536,0.12357431627643534,Muy Baja
2,4,sep,sat,0.9287265369664155,0.8370286141969054,0.955587516832819,0.6286592899117149,0.9378704334746872,0.3105315335795764,0.41223993142438764,0.1263738134053475,Muy Baja
2,2,aug,wed,0.8949135564393842,0.7743185828321708,0.9309402577613821,0.6878516998970889,0.7597497475463717,0.5860050119123783,0.5932100698613199,0.1274786240301869,Muy Baja
2,4,aug,wed,0.8949135564393842,0.7743185828321708,0.9309402577613821,0.6878516998970889,0.8030803147723586,0.44998623894566214,0.6347899896343456,0.12802788271235674,Muy Baja
7,4,sep,fri,0.9027582721248439,0.7879890905944353,0.9362321285916946,0.7729523000707477,0.7725909269483451,0.4343541824251993,0.7881234322199716,0.13074333739709473,Muy Baja
7,4,mar,mon,0.8419604000679044,0.5353066749447248,0.42383427331309087,0.537805256110111,0.706547853444045,0.34881576831845407,0.5358284294532458,0.13393602912109093,Muy Baja
6,4,aug,thu,0.9747836736991236,0.8138707785214685,0.9001650086085098,0.7160782903397256,0.7991402288052829,0.5355246530524078,0.6347899896343456,0.14162258700207378,Muy Baja
6,3,mar,sat,0.8553068867129419,0.5889415328006771,0.4607057154676599,0.6156543463131714,0.683753862876616,0.3846282782151915,0.9548633659176108,0.14360521374654422,Muy Baja
8,6,sep,sat,0.905367578978888,0.7942486897975927,0.9386318123774076,0.6494099304075904,0.7465051149615303,0.7049813303060026,0.34565181129628453,0.14409665560768742,Muy Baja
8,5,sep,sun,0.8312303628526525,0.7249576389125065,0.9495854430001014,0.45392269300605453,0.7465051149615303,0.8028972384683102,0.41223993142438764,0.14701077061370776,Muy Baja
6,5,mar,thu,0.6986461137597928,0.3582216828986767,0.31106424277744726,0.30977665935492765,0.2855819484073915,0.8268535331731535,0.6823183316781324,0.15313032724255732,Muy Baja
6,5,aug,wed,0.8949135564393842,0.7743185828321708,0.9309402577613821,0.6878516998970889,0.7186981505869892,0.6096213976880227,0.15228471422006237,0.15988409481675592,Muy Baja
6,5,aug,wed,0.9949775532760139,0.805555374539062,0.896530912756943,0.8823464584844265,0.8564236909053538,0.41826896025311844,0.6823183316781324,0.16925221359739315,Muy Baja
6,5,mar,fri,0.8712268367717453,0.5804892621407038,0.45415885689650826,0.7816705206276564,0.6678430640628139,0.2903510802033016,0.9999999999999999,0.170074542451976,Muy Baja
8,6,aug,thu,0.9747836736991236,0.8138707785214685,0.9001650086085098,0.7160782903397256,0.8069839179382212,0.5860050119123783,0.41223993142438764,0.17089222535604054,Muy Baja
5,4,sep,wed,0.9157769737516439,0.8166956714141616,0.9478645381044439,0.6729289182769687,0.8296756438284096,0.44998623894566214,0.34565181129628453,0.17170531451169227,Muy Baja
8,6,aug,wed,0.7184361112660316,0.7259914089001438,0.9132103066224919,0.5587803365821493,0.7374383971345253,0.6432620797259494,0.6347899896343456,0.17649019621411383,Muy Baja
7,4,aug,sun,0.8765104726904678,0.8321485396770341,0.9098026256178671,0.7228253210611102,0.79516297166708,0.5084509270608146,0.7578917427206724,0.17843813260491842,Muy Baja
4,4,sep,mon,0.863279854107688,0.8044488035894273,0.94310721442099,0.5786792874099831,0.7442566502725916,0.5084509270608146,0.41223993142438764,0.19067608016924098,Muy Baja
1,4,aug,sat,0.8446355479197933,0.7421841949726806,0.919165887652349,0.6613476257732684,0.6568921592789241,0.6749793584184931,0.34565181129628453,0.2052118991762123,Baja
1,4,aug,sat,0.8446355479197933,0.7421841949726806,0.919165887652349,0.6613476257732684,0.7991402288052829,0.5084509270608146,0.7173271001643842,0.23504215477000465,Baja
6,5,apr,thu,0.6001701438829947,0.20681445670200344,0.31196278163879554,0.2795319090675597,0.31777973695879,0.6851613194948967,0.7881234322199716,0.23712089052718638,Baja
2,5,aug,sun,0.8446355479197933,0.7485965580521141,0.9219721504360894,0.5431562994022425,0.7767858484235235,0.573808887791285,0.48463786663613717,0.23917019186711538,Baja
2,5,sep,wed,0.8419604000679044,0.7058108769874452,0.9605279400221314,0.537805256110111,0.7575710030080602,0.5860050119123783,0.41223993142438764,0.24392405102230533,Baja
8,6,aug,tue,0.8069137367335415,0.8400678720580457,0.915224827468814,0.6652465981699522,0.6624031675560726,0.7946763279647917,0.7578917427206724,0.25229224797387445,Baja
1,3,sep,sun,0.9027582721248439,0.7999698245468616,0.9409718944252321,0.6453476473421185,0.8649754269199599,0.4017035119069132,0.8501069937413349,0.2545969063703027,Baja
8,6,oct,mon,0.6986461137597928,0.49152147715287525,0.9347964305738947,0.30977665935492765,0.7746936052714826,0.4017035119069132,0.6347899896343456,0.2570903499995795,Baja
