x,y,etiqueta
0.13236588421261278,-6.195912640675959,2
-0.018468136933507955,-6.37439557591902,2
-0.06803596589788098,-6.1831928529868865,2
0.1056685288008646,-6.128137535919409,2
0.04898436643916826,-6.31688818884267,2
0.007005330185792882,-6.334320986840404,2
0.16359077491028387,-6.352619270530672,2
0.08313443228557277,-6.025670720649875,2
0.054173419698557185,-6.376228409842515,2
0.05330440705508912,-6.178658361574386,2
0.10166864214841351,-6.269931717125639,2
0.07006086441150365,-6.205879982269054,2
0.23116001738432707,-6.434910833097118,2
-0.1678425589841933,-6.061155579844439,2
0.22015047990798464,-6.344932183626309,2
0.14508230496472874,-6.143060904969021,2
0.1465357108749906,-6.056463998088915,2
0.15755212248936956,-6.179540364449416,2
0.2253455097869978,-6.059642639535056,2
0.024390204686795564,-6.16046331222628,2
0.2542267386246928,-6.022967359339644,2
0.11061692550740207,-6.27333608947474,2
0.2236506308164068,-6.204808699982834,2
0.3520816020362698,-6.130719413248872,2
0.10982646590749781,-6.277718219142392,2
0.14674067486212872,-6.0495132675989485,2
0.23953338295128412,-6.059425533043162,2
0.10703000415904146,-6.073175939347944,2
0.26901828296047947,-6.28155094329463,2
0.2932139281402728,-6.130636671081464,2
0.01893346494495432,-6.0473019409966255,2
0.12941462349720828,-6.154652772338618,2
0.3281740620838126,-6.103513484656854,2
0.05221947948209904,-5.9993206128936025,2
0.2723323047404172,-5.871045552258959,2
0.17599631113823166,-6.165070379677212,2
0.08674250900897848,-6.0791792419057025,2
0.28011017626488594,-6.024967016380621,2
0.1725118207578917,-6.011280367747778,2
0.35830886468786105,-6.083725325862068,2
0.27276380098687714,-5.976889034540588,2
0.32663109492738235,-5.8932350421670305,2
0.3049805970897659,-6.04972912545399,2
0.19815349975141752,-6.004024563701907,2
0.45338940191222554,-6.125932797481227,2
0.29608564229100887,-6.102929658487848,2
0.05475422361015278,-6.192231936939539,2
0.356463644053282,-5.96366014686664,2
0.18823998322741076,-5.928384591351517,2
0.3696501828631883,-5.938505579622634,2
0.31141382928182626,-6.042205995362234,2
0.46898216276005256,-6.054356232486219,2
0.37957440177284907,-6.007942220413953,2
0.18046417533284345,-5.967812704968185,2
0.2519838912492466,-6.1671469765963485,2
0.20223272379052032,-5.824031135195314,2
0.3601585597826093,-6.0608593392254155,2
0.20517759283098846,-6.030929165914284,2
0.2272012475818848,-5.921538461456433,2
0.2479152495618256,-5.76977838015359,2
0.31768453548008757,-5.955606880563102,2
0.1348662500891522,-5.853969162759944,2
0.08737008316328065,-5.977242855606976,2
0.45856300979913844,-5.793775846768129,2
0.31461865202015654,-5.721808337351795,2
0.5246348968548007,-5.853098767771081,2
0.48824309727354903,-5.806020466927282,2
